                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4452,                 3.0268,                 1.7537,                0.77968,                0.61008,                    0.7,                0.43501,                 1.3104,                 1.5422,                 1.7653,              0.0032883,              0.0032883,              0.0032883
                      2,                  1.241,                 1.4736,                 1.4838,                0.75177,                 0.5121,                0.66459,                0.42417,                 1.3203,                 1.4414,                 1.6478,               0.006621,               0.006621,               0.006621
                      3,                 1.2996,                 1.4094,                 1.5199,                0.61843,                0.64262,                0.62358,                0.37598,                 1.4947,                 2.0113,                 1.9232,               0.009953,               0.009953,               0.009953
                      4,                 1.3781,                 1.4383,                 1.5736,                0.72768,                0.44638,                0.58963,                0.31679,                 1.6425,                 1.8515,                 2.2722,               0.009997,               0.009997,               0.009997
                      5,                 1.3589,                  1.374,                 1.5661,                0.59423,                0.41294,                0.49091,                0.24866,                  1.814,                 2.0914,                 2.5364,               0.009996,               0.009996,               0.009996
                      6,                 1.3698,                  1.369,                 1.5632,                0.70445,                0.63947,                0.69767,                0.41214,                 1.5432,                 1.5492,                 1.9933,              0.0099951,              0.0099951,              0.0099951
                      7,                 1.3563,                  1.366,                 1.5598,                0.72585,                 0.5509,                0.62937,                0.36452,                 1.5748,                 2.0523,                 2.1101,              0.0099941,              0.0099941,              0.0099941
                      8,                 1.3474,                 1.3145,                 1.5617,                0.59491,                0.65116,                0.69227,                0.38193,                 1.5362,                 1.7344,                 1.9618,              0.0099931,              0.0099931,              0.0099931
                      9,                 1.3264,                 1.3079,                 1.5451,                0.67185,                0.63669,                  0.703,                0.39617,                 1.5306,                 1.5969,                 1.9974,              0.0099921,              0.0099921,              0.0099921
                     10,                 1.3394,                 1.2845,                 1.5712,                0.71462,                0.68236,                0.73517,                0.41964,                 1.4501,                 1.5536,                 1.8294,              0.0099911,              0.0099911,              0.0099911
                     11,                 1.3092,                 1.2348,                 1.5206,                0.77193,                0.67597,                0.77199,                0.44871,                  1.451,                 1.1899,                 1.8642,              0.0099901,              0.0099901,              0.0099901
